Row [476] (11, 15) : 1.0
Row [477] (12, 15) : 1.0
Row [478] (13, 15) : 1.0
Row [479] (14, 15) : 1.0
Row [480] (15, 15) : 1.0
Row [481] (16, 15) : 1.0
Row [482] (17, 15) : 1.0
Row [483] (18, 15) : 1.0
Row [484] (19, 15) : 1.0
Row [485] (20, 15) : 1.0
Row [486] (21, 15) : 1.0
Row [487] (22, 15) : 1.0
Row [488] (23, 15) : 1.0
Row [489] (24, 15) : 0.0
Row [490] (25, 15) : 0.0
Row [491] (26, 15) : 0.0
Row [492] (27, 15) : 0.0
Row [493] (28, 15) : 0.0
Row [494] (29, 15) : 0.0
Row [495] (30, 15) : 0.0
Row [496] (0, 16) : 0.0
Row [497] (1, 16) : 0.0
Row [498] (2, 16) : 0.0
Row [499] (3, 16) : 0.0
Row [500] (4, 16) : 0.0
Row [501] (5, 16) : 0.0
Row [502] (6, 16) : 0.0
Row [503] (7, 16) : 0.0
Row [504] (8, 16) : 0.0
Row [505] (9, 16) : 1.0
Row [506] (10, 16) : 1.0
Row [507] (11, 16) : 1.0
Row [508] (12, 16) : 1.0
Row [509] (13, 16) : 1.0
Row [510] (14, 16) : 1.0
Row [511] (15, 16) : 1.0
Row [512] (16, 16) : 1.0
Row [513] (17, 16) : 1.0
Row [514] (18, 16) : 1.0
Row [515] (19, 16) : 1.0
Row [516] (20, 16) : 1.0
Row [517] (21, 16) : 1.0
Row [518] (22, 16) : 1.0
Row [519] (23, 16) : 1.0
Row [520] (24, 16) : 0.0
Row [521] (25, 16) : 0.0
Row [522] (26, 16) : 0.0
Row [523] (27, 16) : 0.0
Row [524] (28, 16) : 0.0
Row [525] (29, 16) : 0.0
Row [526] (30, 16) : 0.0
Row [527] (0, 17) : 0.0
Row [528] (1, 17) : 0.0
Row [529] (2, 17) : 0.0
Row [530] (3, 17) : 0.0
Row [531] (4, 17) : 1.0
Row [532] (5, 17) : 0.0
Row [533] (6, 17) : 0.0
Row [534] (7, 17) : 0.0
Row [535] (8, 17) : 0.0
